transect,year,site,latitude,longitude
Finland,2022,10A,62.86181667,27.64036667
Finland,2022,10E,63.68838333,27.52178333
Finland,2022,12D,63.10525,27.9944
Finland,2022,13Aa,62.30845921,27.81830651
Finland,2022,13Ab,62.29283365,27.85368353
Finland,2022,13Ba,61.67356667,27.28063333
Finland,2022,13Bb,61.67616667,27.28033333
Norway,2022,15A,63.62386667,11.0666
Norway,2022,15C,63.66573333,11.01288333
Norway,2022,16A,64.34251667,10.4715
Norway,2022,17A,64.47638333,11.58226667
Norway,2022,17B,64.52481667,12.10453333
Norway,2022,18A,65.08813333,11.84145
Norway,2022,18B,65.08991653,11.88600173
Norway,2022,19A,64.9929,11.7099
Finland,2022,1A,60.2002029,24.9797344
Norway,2022,20A,65.05658868,12.52753807
Norway,2022,20C,65.06801667,12.33961667
Norway,2022,21A,64.91823333,11.29396667
Norway,2022,21B,64.85476667,11.5028
Norway,2022,21C,64.85778333,11.52171667
Norway,2022,22A,64.61703333,11.14851667
Norway,2022,23A,63.73375,9.85465
Norway,2022,24A,63.71795,9.73508
Norway,2022,25A,63.0314,8.44577
Norway,2022,25B,63.04284,8.04943
Norway,2022,25C,63.09705,7.82678
Norway,2022,26A,63.08919,7.64204
Norway,2022,26B,63.03677,7.60914
Norway,2022,26C,62.87966,7.14551
Norway,2022,27B,62.53081,6.71899
Norway,2022,27C,62.48521,6.7269
Norway,2022,28A,62.14455,6.09821
Norway,2022,29A,61.59427,5.43752
Norway,2022,29B,61.5966,5.0323
Finland,2022,2A,60.0085,24.45111667
Finland,2022,2B,60.08163333,24.2989
Norway,2022,30A,60.55611,5.17837
Norway,2022,30B,60.55877,5.06441
Norway,2022,30C,60.48408,5.3704
Norway,2022,31B,60.19078,5.44923
Norway,2022,31C,60.27191,5.42884
Finland,2022,3B,60.80331667,24.61715
Finland,2022,4A,60.97971667,25.69118333
Finland,2022,5B,61.1706227,24.5542724
Finland,2022,5D,61.1759,24.76091667
Finland,2022,5E,61.033,25.15861667
Finland,2022,6A,61.0951,25.6307
Finland,2022,6Cb,61.24918333,26.0715
Finland,2022,6D,61.49401667,25.72128333
Finland,2022,7Ab,61.49675,25.69576667
Finland,2022,7B,61.56855,26.05016667
Finland,2022,7C,61.71601667,26.06626667
Finland,2022,8Cb,62.25413333,25.73035
Finland,2022,9A,62.89215,27.66151667
Finland,2022,9Ea,63.02383333,27.77783333
Scotland,2014,AB1,57.0788,-2.930917
Scotland,2014,AB10,57.01098,-3.332933
Scotland,2014,AB100,57.04367,-2.8627
Scotland,2014,AB101,57.07755,-2.895967
Scotland,2014,AB102,57.0775,-2.89895
Scotland,2014,AB103,56.70197,-4.133833
Scotland,2014,AB104,56.69102,-4.09545
Scotland,2014,AB106,56.66983333,-4.000083333
Scotland,2014,AB107,56.6119,-3.983983
Scotland,2014,AB11,57.00727,-3.33745
Scotland,2014,AB111,57.16066,-2.95703
Scotland,2014,AB112,57.0717,-2.52296
Scotland,2014,AB12,57.01275,-3.355833
Scotland,2014,AB13,57.14875,-2.532667
Scotland,2014,AB130,57.218991,-2.128605
Scotland,2014,AB14,57.15618,-2.507433
Scotland,2014,AB15,57.2046,-2.656283
Scotland,2014,AB16,57.2032,-2.707067
Scotland,2014,AB17,57.26532,-2.87505
Scotland,2014,AB18,57.21121667,-3.257933333
Scotland,2014,AB19,57.23333,-3.333333
Scotland,2014,AB2,57.07872,-2.92555
Scotland,2014,AB20,57.18668,-3.089417
Scotland,2014,AB21,57.18035,-2.9651
Scotland,2014,AB22,57.13715,-2.894817
Scotland,2014,AB23,56.95055,-3.151067
Scotland,2014,AB24,57.04295,-3.034867
Scotland,2014,AB25,57.04078,-3.090634
Scotland,2014,AB26,57.08882,-2.762383
Scotland,2014,AB27,57.10092,-2.105169
Scotland,2014,AB28,57.14804,-2.182331
Scotland,2014,AB29,57.00028,-2.57665
Scotland,2014,AB3,57.08778333,-2.931216667
Scotland,2014,AB30,56.80075,-2.605883
Scotland,2014,AB31,56.648,-2.76975
Scotland,2014,AB32,56.83882,-3.086367
Scotland,2014,AB33,56.83638,-3.076617
Scotland,2014,AB34,57.06888,-2.504083
Scotland,2014,AB35,57.00559167,-3.381677778
Scotland,2014,AB39,56.72616,-3.406139
Scotland,2014,AB4,57.08508333,-2.925166667
Scotland,2014,AB40,56.73116,-3.365739
Scotland,2014,AB41,56.73537,-3.322694
Scotland,2014,AB42,56.76676,-3.316083
Scotland,2014,AB43,56.56895,-3.290933
Scotland,2014,AB44,56.56486,-3.317544
Scotland,2014,AB45,57.06426,-2.782606
Scotland,2014,AB46,57.01947,-2.585433
Scotland,2014,AB47,57.21847,-3.8129
Scotland,2014,AB48,57.18357,-3.826608
Scotland,2014,AB49,57.14872,-3.791678
Scotland,2014,AB5,57.08498333,-2.925166667
Scotland,2014,AB50,57.1657,-3.726933
Scotland,2014,AB51,57.18623,-3.837067
Scotland,2014,AB52,57.18898,-3.841067
Scotland,2014,AB53,57.23761,-3.806267
Scotland,2014,AB54,57.25182,-3.714667
Scotland,2014,AB55,57.26667,-3.666667
Scotland,2014,AB56,57.36315,-2.596817
Scotland,2014,AB57,57.37105,-2.5898
Scotland,2014,AB58,57.39185,-2.340767
Scotland,2014,AB59,56.73797,-2.576333
Scotland,2014,AB6,57.07113333,-2.988616667
Scotland,2014,AB60,56.73057,-2.4998
Scotland,2014,AB61,56.71982,-2.4573
Scotland,2014,AB62,56.69015,-2.453417
Scotland,2014,AB63,56.68248,-2.647467
Scotland,2014,AB64,56.9017,-2.531633
Scotland,2014,AB65,57.31185,-3.627217
Scotland,2014,AB66,57.30977,-3.723367
Scotland,2014,AB67,57.20438,-3.787417
Scotland,2014,AB68,57.16222,-3.8211
Scotland,2014,AB69,57.09458,-3.923967
Scotland,2014,AB7,57.0724,-2.98345
Scotland,2014,AB70,57.12375,-3.925383
Scotland,2014,AB71,56.58607,-3.404883
Scotland,2014,AB72,56.57578,-3.485667
Scotland,2014,AB73,56.52983,-3.422233
Scotland,2014,AB74,56.52888,-3.423433
Scotland,2014,AB75,56.57013,-3.354583
Scotland,2014,AB76,57.00252,-3.412817
Scotland,2014,AB77,56.99412,-3.440383
Scotland,2014,AB78,57.07258,-3.001383
Scotland,2014,AB79,57.12793,-2.847817
Scotland,2014,AB8,57.06783,-2.998867
Scotland,2014,AB80,57.47617,-3.07025
Scotland,2014,AB81,57.33475,-2.351533
Scotland,2014,AB82,56.858,-2.562
Scotland,2014,AB84,56.74228,-2.959183
Scotland,2014,AB85,56.720347,-3.216908
Scotland,2014,AB86,56.64285,-2.9081
Scotland,2014,AB87,56.54172,-2.62155
Scotland,2014,AB88,57.15872,-3.73055
Scotland,2014,AB89,57.15648,-3.7345
Scotland,2014,AB9,57.01665,-3.328883
Scotland,2014,AB90,57.52185,-3.207883
Scotland,2014,AB91,57.67603,-3.12745
Scotland,2014,AB92,56.37477,-3.487367
Scotland,2014,AB93,56.52987,-3.54865
Scotland,2014,AB94,56.71043,-3.763917
Scotland,2014,AB95,56.7759,-3.86905
Scotland,2014,AB96,56.77458,-3.849867
Scotland,2014,AB97,56.76042,-3.796183
Scotland,2014,AB98,57.05338,-2.854167
Scotland,2014,AB99,57.0635,-2.837067
Scotland,2023,NC1,58.522654,-4.4180983
Scotland,2023,NC10,58.393226,-3.1471175
Scotland,2023,NC11,58.307796,-3.3398944
Scotland,2023,NC3,58.537485,-4.1499323
Scotland,2023,NC4,58.548706,-3.9116646
Scotland,2023,NC5,58.642733,-3.3130688
Scotland,2023,NC7,58.546566,-3.2010638
Scotland,2023,NC8,58.617342,-3.5673994
Scotland,2023,NC9,58.491002,-3.4796398
Sweden,2013,SE1D,55.7335,13.9645
Sweden,2013,SE2B,56.1578,15.0847
Sweden,2013,SE3A,56.171,15.7097
Sweden,2013,SE3B,56.2575,16.039
Sweden,2013,SE3E,56.5313,16.2053
Sweden,2013,SE4A,56.7379,15.9179
Sweden,2013,SE4B,56.7605,16.3696
Sweden,2013,SE4D,56.9879,16.0933
Sweden,2013,SE5A,57.253,16.4866
Sweden,2013,SE5D,57.4389,16.2244
Sweden,2013,SE6C,57.8919,15.8006
Sweden,2013,SE6E,58.4674,16.3704
Sweden,2013,SE8A,58.8235,17.4604
Sweden,2013,SE8C,59.1874,17.1659
Sweden,2013,SE8D,59.3433,16.4295
