Rep	Year	RepSeason	NInds	NOccupCells	Occup/Suit	min_X	max_X	min_Y	max_Y
0	0	0	1837500	279	0.00259395	368450	648450	6.16106e+06	6.58106e+06
0	2	0	975249	2652	0.0246565	356450	681450	6.13406e+06	6.59806e+06
0	4	0	880741	2761	0.0256699	354450	681450	6.13406e+06	6.59406e+06
0	6	0	962201	2861	0.0265996	354450	681450	6.13906e+06	6.59406e+06
0	8	0	1163995	3014	0.0280221	354450	684450	6.13906e+06	6.60306e+06
0	10	0	1490193	3231	0.0300396	353450	691450	6.13906e+06	6.61106e+06
0	12	0	1953499	3535	0.032866	353450	693450	6.14006e+06	6.61206e+06
0	14	0	2559814	3859	0.0358783	353450	696450	6.13906e+06	6.61806e+06
0	16	0	3347013	4173	0.0387977	353450	704450	6.14006e+06	6.61906e+06
0	18	0	4276154	4492	0.0417635	353450	704450	6.14206e+06	6.62806e+06
0	20	0	5258107	4874	0.0453151	353450	701450	6.13906e+06	6.64606e+06
1	0	0	1837500	279	0.00259395	368450	648450	6.16106e+06	6.58106e+06
1	2	0	974871	2601	0.0241823	359450	679450	6.14306e+06	6.59606e+06
1	4	0	881167	2704	0.0251399	357450	684450	6.14706e+06	6.59206e+06
1	6	0	962330	2841	0.0264137	354450	682450	6.14006e+06	6.59406e+06
1	8	0	1164164	3009	0.0279756	353450	694450	6.14806e+06	6.59606e+06
1	10	0	1488522	3235	0.0300768	354450	697450	6.13806e+06	6.59906e+06
1	12	0	1937471	3494	0.0324848	354450	701450	6.13806e+06	6.61006e+06
1	14	0	2522588	3775	0.0350973	353450	697450	6.14106e+06	6.60906e+06
1	16	0	3278740	4128	0.0383793	353450	710450	6.14506e+06	6.62506e+06
1	18	0	4186754	4478	0.0416334	353450	701450	6.13906e+06	6.63606e+06
1	20	0	5166738	4823	0.0448409	353450	702450	6.14206e+06	6.63106e+06
