Rep	Year	RepSeason	x	y	Species	NInd	Nfemales	Nmales
0	0	0	0	0	0	7500	3755	3745
0	2	0	0	0	0	12161	6062	6099
0	4	0	0	0	0	14231	7176	7055
0	6	0	0	0	0	14715	7428	7287
0	8	0	0	0	0	15025	7471	7554
0	10	0	0	0	0	14851	7388	7463
0	12	0	0	0	0	14731	7298	7433
0	14	0	0	0	0	14739	7392	7347
0	16	0	0	0	0	15008	7614	7394
0	18	0	0	0	0	14813	7397	7416
0	20	0	0	0	0	14926	7597	7329
1	0	0	0	0	0	7500	3737	3763
1	2	0	0	0	0	12544	6235	6309
1	4	0	0	0	0	14405	7197	7208
1	6	0	0	0	0	14908	7468	7440
1	8	0	0	0	0	14723	7259	7464
1	10	0	0	0	0	14727	7434	7293
1	12	0	0	0	0	14741	7289	7452
1	14	0	0	0	0	15149	7585	7564
1	16	0	0	0	0	15068	7485	7583
1	18	0	0	0	0	15065	7519	7546
1	20	0	0	0	0	14676	7201	7475
