Rep	Year	RepSeason	NInds	NOccupCells	Occup/Suit	min_X	max_X	min_Y	max_Y
0	0	0	7500	1	1	0	1000	0	1000
0	1	0	10347	1	1	0	1000	0	1000
0	2	0	12161	1	1	0	1000	0	1000
0	3	0	13472	1	1	0	1000	0	1000
0	4	0	14231	1	1	0	1000	0	1000
0	5	0	14600	1	1	0	1000	0	1000
0	6	0	14715	1	1	0	1000	0	1000
0	7	0	15146	1	1	0	1000	0	1000
0	8	0	15025	1	1	0	1000	0	1000
0	9	0	15164	1	1	0	1000	0	1000
0	10	0	14851	1	1	0	1000	0	1000
0	11	0	14783	1	1	0	1000	0	1000
0	12	0	14731	1	1	0	1000	0	1000
0	13	0	14684	1	1	0	1000	0	1000
0	14	0	14739	1	1	0	1000	0	1000
0	15	0	14991	1	1	0	1000	0	1000
0	16	0	15008	1	1	0	1000	0	1000
0	17	0	15154	1	1	0	1000	0	1000
0	18	0	14813	1	1	0	1000	0	1000
0	19	0	14554	1	1	0	1000	0	1000
0	20	0	14926	1	1	0	1000	0	1000
1	0	0	7500	1	1	0	1000	0	1000
1	1	0	10323	1	1	0	1000	0	1000
1	2	0	12544	1	1	0	1000	0	1000
1	3	0	13901	1	1	0	1000	0	1000
1	4	0	14405	1	1	0	1000	0	1000
1	5	0	14753	1	1	0	1000	0	1000
1	6	0	14908	1	1	0	1000	0	1000
1	7	0	15091	1	1	0	1000	0	1000
1	8	0	14723	1	1	0	1000	0	1000
1	9	0	14771	1	1	0	1000	0	1000
1	10	0	14727	1	1	0	1000	0	1000
1	11	0	14880	1	1	0	1000	0	1000
1	12	0	14741	1	1	0	1000	0	1000
1	13	0	14700	1	1	0	1000	0	1000
1	14	0	15149	1	1	0	1000	0	1000
1	15	0	15259	1	1	0	1000	0	1000
1	16	0	15068	1	1	0	1000	0	1000
1	17	0	15148	1	1	0	1000	0	1000
1	18	0	15065	1	1	0	1000	0	1000
1	19	0	14946	1	1	0	1000	0	1000
1	20	0	14676	1	1	0	1000	0	1000
